sentiment,text
0,cant sleep  about jaws also my eye hurts
1,emzybob look for colour catcher or stain devils colour run i think they should help 
1,abellahomes nice be sure to show us when youre done with it 
1,i get to go see colby tomorrow 
1,was wondering what would have happened if sreesanth had bowled the last over 
0,on my way to get shots for my nicaragua trip  ouch 
0,have hayfever from hell amp the tablets arent workin 
0,totally sad now dont get to go to italy way to expensive 
0,rizziup why didnt you sell it to me 
1,maryam at least you have a solid  months it sucks overall but it could be even worse  maybe it is time to buy after all 
0,what a long day got out of work late than i missed most of the celticsmagic game  than the celtics lost 
1,east  hey the weather is so good  we have  degress and no clouds at the skys 
0,all work no play im so tired 
1,ima be gone for a long time schools in and i gotta pay attention gonna miss everyone  have a great day bye 
0,good newsbad news  good news is we dont have to pay a babysitter bc bad news is we lost at the casino  
1,ed will be here in  mins i must put a push on  done kitchen now to do me 
1,cal   ha wait what does the last word say i cant catch that 
1,marikurisato or maybe you are quotexactlyquot where you are supposed to be for such a time as this  hugs girl hang tough
0,denverfloorguy  cases here  cases nationwide most cases have been severe leading to hospital stays amp complications 
1,leif thank you st anthony 
0,history 
1,lilie its all good i love speaking english as well im doing great 
1,ritterblockhead aw ok i  understand well miss u hope u have a great time wur mom tho love ya girlie 
0,pink i was in front row vip section youre amazing butmy throatamplegs are so sore  i nearly had a heartattack when you fell from the roof
0,cfobmania no but im bound and determined to get one 
1,sixpm oi leave windows  alone my mac running windows  looks absolutely lush 
1,carmabella good stuff good luck to you too  xox ps how cute is booth quotyoure precious goodsquot 
0,aahhh i can just tell this day is gonna draaaaggggg oooonnnnn 
1,im listenin to sanitarium by metallica on my ipod  and this is my st fkin twitter message
0,angryfeet thanks i need to wait til the rest of my money goes in really ive got a tenner at the moment 
1,just been brought new clothes an shoes by the boy now hes explainin rules of snooker then off to pub  and its sunny good times
1,keithdsouza there u go u admitted it urself 
0,almost forgot pours one out for duke fail to the king 
1,is in a good mood today home swt home soon 
0,is at home drinking coffee and wishing marshall didnt have summer school 
0,one episode of friends and than sleep need to be up at  am  
1,yeayaaaaaaa im gonna get some mcfullry and your not hahahaha i get excited when it comes to ice cream 
0,just finished working  with  hours delay will wake up at  to go on a vespa tour thats the only good thing right now
0,getting ready to go w my brother for a haircut  no hair cut for me 
1,billy ray do us all a favor and stop trying                       hahahah sorrrrry
0,jus chillin and doin my hrs friday afternoons tend to end up quotbusyquot 
0,bunda sakit 
0,is tired 
0,mileycyrus yeap 
0,i go to camp and come back losing my party girl essence  hehe
1,you follow me i follow you 
0,betsy its so saddening  and i like gisela too why did it have to be maria that she beat im still so ajksjd 
0,batmanyng i miss my ps its out of commission  wutcha playing have you copped blood on the sand
0,italian exam in just over an hours timethis will not be good 
0,funkeemonk  well see about the iphone but loved your app great  saving memories
1,secondstomars whoo hoo congratulations guys you have hit  followers  celebrates with a beer
1,weweclothing your clothes is fantabulous 
0, ps i realize now that this song is embarrassingly mediocre 
1,joshgroban lol josh see twweeting isnt that hard lol happy staying 
0,trip to the plant nursery got rained out i miscalculated the start of the rain 
1,hayles helloooonot changin just a top up  then headn to mymums for sunday dinner what u been up tooxxx
1,i learnt how to do a breakdance move  wooo
1,carribugbee because you are rested 
0,heyrima aw girl sounds like reverse wizard of oz  day just switched to bampw 
0,no good no good 
0,im dying here cant focus on work at all ear is hurting worried its getting infected can i puhleaze go home 
0,shivering and feverish yesterday something i ate i think  early night helped gentle exercise then panini helping further
0,backstagejbj ahhh nooo too far away 
0,press all day without her 
1,shanewilliamson i suspect that natal video is a mock up 
0,if i were an american id be a conservative  proudly   it saddens my heart greatly to see whats happening to that great country 
0,was just about to tweet something exciting but nevermind 
1,lodurzj well pizza but that is good too 
1,faithfulchosen soso thanks  ive uploaded a new campaign vid will post the link in a few mins how are you doing babe
0,michaelalalaaa me tooooo  that video well cheered me up though
1,excluding vendors and news sources of course 
0,morning all hope ur all ok today im off to liverpool this morning after my fateful session with satan at   
0,schofe hello i watch you everyday sorry to hear about fearne leaving 
0,xclusivity i love wet willies  of my fav places down south beachim jealous now 
1,lluviafina hello asunit seems so funny that your day  is winding down and mine is just getting started its am here going to work 
0,jalenjade aww  poor jj wish i could help
0,wishing i could be in california 
0,trying to force myself to stay home and not go to sephora today 
0,how sad was hollyoaks 
0,my daughter may have got swine flu from classmates at weltec 
1,just passed the intrepidthats what she saidzing sauce 
0,on the airport in philadelphia at the moment waiting for the plane to leave in about an hour just six more hours on a plane 
0,hayfeaver season has started 
0,summerthunderrr i really look small ah  fuck la haha yeah i read your lj did you sign up for warranty cos i didnt 
1,will eat her lunch first brb  
0,my diet is officialii ruined 
1,leeprovoost  i had my eyes on that too was planning for a post on that too 
1,portfolio download site nearly compleeeeeete 
0,i want to be at the beach today 
0,amazon doesnt carry any peter sarsguards sars guards fb 
1,lorjeztutt i hear ya  i had a very epic memorable night myself  
1,hi this is  we hope everybody is having a safe amp fun weekend 
0,fuuudge movie store is closed 
0,jorosep hello my btff dont know if il be on in the am dont know if il twi in the wkend  so i thought id tweet u now luv u btff xxx
0,well that looks like the end of summerat least it saved me having to water the garden  
1,listening to paolo nutinis new album minimix and enjoying life 
